token:28138 count: 48; Line: 1:
token:2 count: 48; Line: 2:
token:2 count: 48; Line: 2:
token:2 count: 48; Line: 2:
token:2 count: 48; Line: 2:
token:2 count: 48; Line: 2:
token:2 count: 48; Line: 2:
token:2 count: 48; Line: 2:
token:2 count: 48; Line: 2:
token:2 count: 46; Line: 2:
token:6 count: 108; Line: 4:
token:6 count: 37; Line: 4:
token:2 count: 46; Line: 4:
token:7235 count: 97; Line: 7:
token:1129 count: 38; Line: 8:
token:2 count: 48; Line: 10:
token:2 count: 24; Line: 10:
token:6 count: 48; Line: 10:
token:28148 count: 46; Line: 10:
token:28148 count: 45; Line: 10:
token:28148 count: 46; Line: 10:
token:28148 count: 47; Line: 10:
token:1918 count: 243; Line: 11:
token:2 count: 48; Line: 12:
token:2 count: 48; Line: 12:
token:2 count: 48; Line: 12:
token:2 count: 48; Line: 12:
token:2 count: 48; Line: 12:
token:2 count: 48; Line: 12:
token:2 count: 48; Line: 12:
token:2 count: 48; Line: 12:
token:2 count: 48; Line: 12:
token:5256 count: 30; Line: 17:
token:3561 count: 29; Line: 19:
token:3561 count: 29; Line: 19:
token:3561 count: 30; Line: 19:
token:3561 count: 26; Line: 19:
token:6 count: 24; Line: 22:
token:2360 count: 47; Line: 30:
token:2 count: 48; Line: 36:
token:2 count: 48; Line: 36:
token:2 count: 43; Line: 36:
token:28148 count: 46; Line: 36:
token:28148 count: 47; Line: 36:
token:28148 count: 39; Line: 36:
token:28148 count: 47; Line: 36:
token:28148 count: 47; Line: 36:
token:2 count: 48; Line: 36:
token:2 count: 74; Line: 42:
token:6 count: 48; Line: 42:
token:6 count: 48; Line: 42:
token:4 count: 47; Line: 42:
token:2 count: 48; Line: 42:
token:2 count: 48; Line: 42:
token:2 count: 48; Line: 46:
token:2 count: 24; Line: 46:
token:28148 count: 47; Line: 46:
token:6 count: 47; Line: 46:
token:28148 count: 47; Line: 46:
token:28148 count: 48; Line: 46:
token:28148 count: 47; Line: 46:
token:6 count: 119; Line: 48:
